"Listing URL","Property Type","Latitude","Longitude","Star Rating","Number of Active Days","Bedrooms","Has pool","Cleaning Fee","Extra Guest Fee","Average Daily Rate LTM","Occupancy Rate LTM","Annual Revenue LTM"
"http://airbnb.com/rooms/40763105","Entire Home","33.59752","-111.95801","5","202","3","t","150","0","338","54","74140"
"http://airbnb.com/rooms/40772290","Entire Home","33.50256","-112.25643","5","105","1","f","100","0","105","83","32943"
"http://airbnb.com/rooms/40782877","Entire Home","33.50833","-112.06384","4.7","15","1","t","66","0","9999","100","3669296"
"http://airbnb.com/rooms/40801092","Private Room","33.55478","-112.09105","5","342","1","f","30","0","103","56","22588"
"http://airbnb.com/rooms/40804149","Private Room","33.37912","-112.21311","4.9","181","1","f","50","0","65","34","9099"
"http://airbnb.com/rooms/40817877","Entire Home","33.47316","-112.0808","5","324","1","f","30","0","122","48","22517"
"http://airbnb.com/rooms/40824605","Entire Home","33.46388","-112.05156","4.9","317","3","f","99","0","122","78","45230"
"http://airbnb.com/rooms/40841853","Private Room","33.47792","-112.04948","5","35","1","f","0","0","63","41","9453"
"http://airbnb.com/rooms/40843289","Entire Home","33.455","-112.05","4.8","367","0","f","50","0","60","100","32232"
"http://airbnb.com/rooms/40860353","Entire Home","33.5897","-111.99993","4.9","144","4","t","249","0","270","45","47633"
"http://airbnb.com/rooms/40896035","Condo","33.58904","-111.97666","5","348","2","t","150","0","126","52","29502"
"http://airbnb.com/rooms/40900160","Entire Home","33.48215","-112.06584","4.9","238","1","t","89","20","74","88","27667"
"http://airbnb.com/rooms/40927828","Entire Home","33.52777","-112.14535","4.8","344","3","t","40","0","164","67","42642"
"http://airbnb.com/rooms/40949470","Entire Home","33.47053","-112.02919","4.8","106","2","f","65","0","227","74","63725"
"http://airbnb.com/rooms/40965367","Condo","33.598","-111.986","5","313","1","t","150","0","100","69","26482"
"http://airbnb.com/rooms/40984750","Entire Home","33.61473","-111.9767","4.8","357","4","t","600","94","428","58","101313"
"http://airbnb.com/rooms/40988558","Entire Home","33.48388","-111.99165","4.8","315","4","t","300","0","276","71","83572"
"http://airbnb.com/rooms/41013320","Entire Home","33.61167","-111.94429","4.9","158","4","t","180","0","278","47","54075"
"http://airbnb.com/rooms/41015097","Entire Home","33.50311","-112.25511","5","81","1","t","50","25","144","50","28159"
"http://airbnb.com/rooms/41015572","Entire Home","33.50418","-112.25659","5","159","1","f","0","0","138","49","24750"
